Country,Capital,Latitude,Longitude
Malta,Valletta,35.9375,14.3754
South Korea,Seoul,37.0,127.5
Samoa,Apia,-13.58333333,-172.33333333
Germany,Berlin,51.0,9.0
Niger,Niamey,16.0,8.0
Jamaica,Kingston,18.25,-77.5
Nicaragua,Managua,13.0,-85.0
Guinea,Conakry,11.0,-10.0
Anguilla,The Valley,18.25,-63.16666666
Åland Islands,Mariehamn,60.116667,19.9
Belgium,Brussels,50.83333333,4.0
Portugal,Lisbon,39.5,-8.0
Denmark,Copenhagen,56.0,10.0
Philippines,Manila,13.0,122.0
Wallis and Futuna,Mata-Utu,-13.3,-176.2
Austria,Vienna,47.33333333,13.33333333
Guinea-Bissau,Bissau,12.0,-15.0
Monaco,Monaco,43.73333333,7.4
Namibia,Windhoek,-22.0,17.0
United States Minor Outlying Islands,Washington DC,19.3,166.633333
Costa Rica,San José,10.0,-84.0
Bosnia and Herzegovina,Sarajevo,44.0,18.0
Mozambique,Maputo,-18.25,35.0
Réunion,Saint-Denis,-21.15,55.5
Montenegro,Podgorica,42.5,19.3
North Korea,Pyongyang,40.0,127.0
Northern Mariana Islands,Saipan,15.2,145.75
Ukraine,Kyiv,49.0,32.0
Iraq,Baghdad,33.0,44.0
South Georgia,King Edward Point,-54.5,-37.0
Angola,Luanda,-12.5,18.5
Sierra Leone,Freetown,8.5,-11.5
Micronesia,Palikir,6.91666666,158.25
Cuba,Havana,21.5,-80.0
Turks and Caicos Islands,Cockburn Town,21.75,-71.58333333
Serbia,Belgrade,44.0,21.0
Ecuador,Quito,-2.0,-77.5
Faroe Islands,Tórshavn,62.0,-7.0
Palestine,Ramallah,31.9,35.2
Turkey,Ankara,39.0,35.0
Kiribati,South Tarawa,1.41666666,173.0
Kazakhstan,Nur-Sultan,48.0196,66.9237
Gibraltar,Gibraltar,36.13333333,-5.35
Iceland,Reykjavik,65.0,-18.0
Palau,Ngerulmud,7.5,134.5
Qatar,Doha,25.5,51.25
Switzerland,Bern,47.0,8.0
French Polynesia,Papeetē,17.6797,149.4068
Pitcairn Islands,Adamstown,-25.06666666,-130.1
Jordan,Amman,31.0,36.0
Myanmar,Naypyidaw,22.0,98.0
Thailand,Bangkok,15.0,100.0
Caribbean Netherlands,Kralendijk,12.18,-68.25
Aruba,Oranjestad,12.5,-69.96666666
Guadeloupe,Basse-Terre,16.25,-61.583333
Nigeria,Abuja,10.0,8.0
Bahrain,Manama,26.0,50.55
Laos,Vientiane,18.0,105.0
Cocos (Keeling) Islands,West Island,12.1642,96.871
Djibouti,Djibouti,11.5,43.0
Solomon Islands,Honiara,-8.0,159.0
India,New Delhi,20.0,77.0
San Marino,City of San Marino,43.76666666,12.41666666
Luxembourg,Luxembourg,49.75,6.16666666
Sint Maarten,Philipsburg,18.033333,-63.05
Falkland Islands,Stanley,-51.75,-59.0
Central African Republic,Bangui,7.0,21.0
Botswana,Gaborone,-22.0,24.0
Curaçao,Willemstad,12.116667,-68.933333
Guernsey,St. Peter Port,49.46666666,-2.58333333
Norway,Oslo,62.0,10.0
Gabon,Libreville,-1.0,11.75
Zimbabwe,Harare,-20.0,30.0
Lesotho,Maseru,-29.5,28.5
Slovenia,Ljubljana,46.11666666,14.81666666
Argentina,Buenos Aires,-34.0,-64.0
Burkina Faso,Ouagadougou,13.0,-2.0
Yemen,Sana'a,15.0,48.0
DR Congo,Kinshasa,0.0,25.0
Oman,Muscat,21.0,57.0
Indonesia,Jakarta,-5.0,120.0
Nauru,Yaren,-0.53333333,166.91666666
Rwanda,Kigali,-2.0,30.0
North Macedonia,Skopje,41.83333333,22.0
Kosovo,Pristina,42.666667,21.166667
Netherlands,Amsterdam,52.5,5.75
Tunisia,Tunis,34.0,9.0
South Sudan,Juba,7.0,30.0
Honduras,Tegucigalpa,15.0,-86.5
Saint Vincent and the Grenadines,Kingstown,13.25,-61.2
Sri Lanka,Sri Jayawardenepura Kotte,7.0,81.0
Hong Kong,City of Victoria,22.267,114.188
